title:,author,length
Immortal Journeys,"Kenneth Arant,Eden Hudson,Gage Lee",Length: 32 hrs and 8 mins
How to Lose a Guy Before Christmas,A.J. Pine,Length: 5 hrs and 24 mins
Legacy,James Kerr,Length: 4 hrs and 41 mins
Tom Clancy Act of Defiance,"Brian Andrews,Jeffrey Wilson",Length: 13 hrs
Under Ashen Skies,Selkie Myth,Length: 15 hrs and 12 mins
Small Worlds,Caleb Azumah Nelson,Length: 7 hrs and 23 mins
The Demon's Design,Christopher G. Nuttall,Length: 13 hrs and 23 mins
Heretic Spellblade 6,K.D. Robertson,Length: 18 hrs and 36 mins
Rain of Shadows and Endings,Melissa Roehrich,Length: 24 hrs and 22 mins
The Winston Brothers Box Set,Penny Reid,Length: 25 hrs and 37 mins
The Cursed,Harper L. Woods,Length: 10 hrs and 3 mins
The Engineer,Will Wight,Length: 11 hrs and 11 mins
Redeeming 6,Chloe Walsh,Length: 31 hrs and 55 mins
Magic Bleeds (Dramatized Adaptation),Ilona Andrews,Length: 11 hrs and 43 mins
Outbound Flight,Timothy Zahn,Length: 17 hrs and 36 mins
When Gracie Met The Grump,Mariana Zapata,Length: 19 hrs and 20 mins
The Complete Dark Days Series,Ryan Schow,Length: 38 hrs and 55 mins
Shadow Work for Beginners,Felix R. Buchwald,Length: 5 hrs and 12 mins
Be What You Wish,Neville Goddard,Length: 1 hr and 39 mins
This Book May Save Your Life,Dr. Karan Rajan,Length: 8 hrs and 45 mins
Ruthless Knight,Faith Summers,Length: 12 hrs and 1 min
Peaches and Dreams,"Smartypants Romance,Juliette Cross",Length: 7 hrs and 21 mins
Tales from the Stranger's Room,David Ruffle,Length: 4 hrs and 53 mins
Lone Wolf,Gregg Hurwitz,Length: 13 hrs and 13 mins
A Grimm Decision,Jeffery H. Haskell,Length: 10 hrs and 56 mins
Random in Death,J. D. Robb,Length: 10 hrs and 45 mins
Unnatural Death,Patricia Cornwell,Length: 11 hrs and 48 mins
Sherlock Holmes and the Adventure of the Ordered Occupations,Nick Howlett,Length: 39 mins
Learn Spanish While You Sleep & Learn Spanish While Driving in Your Car,Patrick Jackson,Length: 51 hrs and 44 mins
House of War and Bone,Leia Stone,Length: 7 hrs and 1 min
Aliens: Bishop,T. R. Napper,Length: 10 hrs and 55 mins
Convince Me,"Adele Gambardella,Chip Massey",Length: 7 hrs and 27 mins
Echoes in the Deep,"J.N. Chaney,Terry Maggert",Length: 14 hrs and 4 mins
Same Time Next Year,Tessa Bailey,Length: 4 hrs and 14 mins
Visions of Flesh and Blood,"Jennifer L. Armentrout,Rayvn Salvador - contributor",Length: 6 hrs
House of Earth and Blood (Part 1 of 2) (Dramatized Adaptation),Sarah J. Maas,Length: 10 hrs
"Cleopatra Fox Mysteries Boxed Set, Books 1-3",C.J. Archer,Length: 23 hrs and 59 mins
Gilded Curses,Brenda K. Davies,Length: 10 hrs and 8 mins
Finding the Road to Us,Carrie Ann Ryan,Length: 6 hrs and 38 mins
Monster Core 3,Dante King,Length: 9 hrs and 20 mins
Seven Shades of Evil,Robert McCammon,Length: 17 hrs and 34 mins
Arcane Knight 5,Timothy McGowen,Length: 9 hrs and 43 mins
Born to Be Badger,Shelly Laurenston,Length: 10 hrs and 38 mins
"Recovery from Narcissistic Abuse, Gaslighting, Codependency, Trauma Bond & Complex PTSD: The Complete Guide to Healing from Toxic Relationships, Emotional Abuse & Breaking the Cycle of Trauma Bonds",Madison Bright,Length: 6 hrs and 1 min
How to ADHD,Jessica McCabe,Length: 9 hrs
The Fury,Alex Michaelides,Length: 8 hrs and 10 mins
El gran corruptor [The Great Corrupter],Elena Chávez,Length: 7 hrs and 25 mins
The Women,Kristin Hannah,Length: 14 hrs and 57 mins
Trapdoor,J.P. Pomare,Length: 5 hrs and 54 mins
Empath and Narcissist,Elizabeth Hartman,Length: 20 hrs and 40 mins
The Rougarou Rigmarole,Amanda M. Lee,Length: 8 hrs and 53 mins
Sherlock Holmes,"Arthur Conan Doyle,Stephen Fry - introductions",Length: 62 hrs and 52 mins
Seraph,Lily Mayne,Length: 17 hrs and 50 mins
School of Magical Arts: Complete Novella Series,Chandelle LaVaun,Length: 18 hrs and 13 mins
Moral Stand,Daniel Schinhofen,Length: 13 hrs and 3 mins
The Christmas Bookshop,Jenny Colgan,Length: 11 hrs and 23 mins
Passive Income Mastery,Clarissa Fletcher,Length: 5 hrs and 12 mins
He Who Fights with Monsters: A LitRPG Adventure,"Shirtaloon,Travis Deverell",Length: 28 hrs and 56 mins
"Neon Genesis Evangelion: ANIMA, (Light Novel), Vol. 1",Ikuto Yamashita,Length: 6 hrs and 1 min
Galaxy's Most Wanted,Michael LaVoice,Length: 8 hrs and 21 mins
The Case of the Felonious Faire,Drew Hayes,Length: 7 hrs and 46 mins
Dancing in the Rain,Tanzania Glover,Length: 2 hrs and 34 mins
To Rule in Heaven,"J.N. Chaney,Chris Kennedy",Length: 9 hrs and 49 mins
Brokedown Prophets,"S. A. Cosby,Kevin Hart,Charlamagne Tha God,SBH Productions",Length: 4 hrs and 9 mins
Shifting the Balance,"Jan Miller Burkins,Kari Yates",Length: 5 hrs and 13 mins
Light Bringer,Pierce Brown,Length: 30 hrs and 8 mins
The Laws of Human Nature,Robert Greene,Length: 28 hrs and 26 mins
Star Wars: Temptation of the Force (The High Republic),Tessa Gratton,Length: 12 hrs
Cerberus MC Box Set 7,Marie James,Length: 20 hrs and 2 mins
Joe Ledger,"Jonathan Maberry,Kevin J. Anderson,Wayne Brady,Maurice Broaddus,Scott Sigler,John G. Hartness,Heather Graham,Kat Richardson,Peter Clines,Keith R.A. Decandido,Tori Eldridge,Dana Fredsti,Kevin Ikenberry,Bryan Thomas Schmidt,Marie Whittaker",Length: 11 hrs and 59 mins
The Days of Lot,Mark Goodwin,Length: 7 hrs and 10 mins
Sherlock Holmes and a Tale of Greed,Daniel D. Victor,Length: 2 hrs and 53 mins
The Road of Bones,Demi Winters,Length: 18 hrs and 55 mins
Witch Is How the Mirror Lied,Adele Abbott,Length: 6 hrs and 46 mins
Take Me to the Cliff,Kaci Rose,Length: 1 hr and 42 mins
Vadim: The Complete Trilogy,Lana Sky,Length: 22 hrs and 21 mins
Nemesis,Jeremy Robinson,Length: 10 hrs and 33 mins
The Edge,David Baldacci,Length: 11 hrs and 45 mins
The Underboss,Piper Stone,Length: 9 hrs and 22 mins
Wraith Squadron,Aaron Allston,Length: 14 hrs
Morning Star,Pierce Brown,Length: 21 hrs and 50 mins
Yes to the Holidays,April Berry,Length: 4 hrs and 34 mins
Dislocated,Franklin Horton,Length: 9 hrs and 1 min
Huron Nights,Landon Beach,Length: 15 hrs and 29 mins
Bishop,Eden Summers,Length: 15 hrs and 38 mins
How a Realist Hero Rebuilt the Kingdom: Volume 8,Dojyomaru,Length: 7 hrs and 26 mins
The Fellowship of the Ring,J. R. R. Tolkien,Length: 22 hrs and 38 mins
The House of Hidden Meanings,RuPaul,Length: 12 hrs
The Gorgon Incident and Other Stories,John Bierce,Length: 14 hrs and 51 mins
Way to the North,Kirill Klevanski,Length: 13 hrs and 30 mins
Lube Job,K.M. Neuhold,Length: 7 hrs and 52 mins
Red Company: Contact,B.V. Larson,Length: 9 hrs and 57 mins
Husband and Wife,K. L. Slater,Length: 9 hrs and 11 mins
